ano,sigla_uf,id_municipio,municipio,populacao
2022,SP,3500105,Adamantina,34687
2023,SP,3500105,Adamantina,34687
2024,SP,3500105,Adamantina,35642
2025,SP,3500105,Adamantina,35673
2022,SP,3500204,Adolfo,4351
2023,SP,3500204,Adolfo,4351
2024,SP,3500204,Adolfo,4478
2025,SP,3500204,Adolfo,4505
2022,SP,3500303,Aguaí,32072
2023,SP,3500303,Aguaí,32072
2024,SP,3500303,Aguaí,32888
2025,SP,3500303,Aguaí,32886
2022,SP,3500709,Agudos,37680
2023,SP,3500709,Agudos,37680
2024,SP,3500709,Agudos,38879
2025,SP,3500709,Agudos,38988
2022,SP,3500758,Alambari,6141
2023,SP,3500758,Alambari,6141
2024,SP,3500758,Alambari,6330
2025,SP,3500758,Alambari,6373
2022,SP,3500808,Alfredo Marcondes,4445
2023,SP,3500808,Alfredo Marcondes,4445
2024,SP,3500808,Alfredo Marcondes,4556
2025,SP,3500808,Alfredo Marcondes,4574
2022,SP,3500907,Altair,3451
2023,SP,3500907,Altair,3451
2024,SP,3500907,Altair,3479
2025,SP,3500907,Altair,3467
2022,SP,3501004,Altinópolis,16818
2023,SP,3501004,Altinópolis,16818
2024,SP,3501004,Altinópolis,17156
2025,SP,3501004,Altinópolis,17197
2022,SP,3501103,Alto Alegre,3841
2023,SP,3501103,Alto Alegre,3841
2024,SP,3501103,Alto Alegre,3883
2025,SP,3501103,Alto Alegre,3874
2022,SP,3501152,Alumínio,17301
2023,SP,3501152,Alumínio,17301
2024,SP,3501152,Alumínio,17591
2025,SP,3501152,Alumínio,17607
2022,SP,3501509,Alvinlândia,2885
2023,SP,3501509,Alvinlândia,2885
2024,SP,3501509,Alvinlândia,2923
2025,SP,3501509,Alvinlândia,2919
2022,SP,3501608,Americana,237240
2023,SP,3501608,Americana,237240
2024,SP,3501608,Americana,246655
2025,SP,3501608,Americana,247571
2022,SP,3501905,Amparo,68008
2023,SP,3501905,Amparo,68008
2024,SP,3501905,Amparo,69717
2025,SP,3501905,Amparo,69792
2022,SP,3501707,Américo Brasiliense,33019
2023,SP,3501707,Américo Brasiliense,33019
2024,SP,3501707,Américo Brasiliense,33757
2025,SP,3501707,Américo Brasiliense,33708
2022,SP,3501806,Américo de Campos,5870
2023,SP,3501806,Américo de Campos,5870
2024,SP,3501806,Américo de Campos,5975
2025,SP,3501806,Américo de Campos,5981
2022,SP,3502002,Analândia,4589
2023,SP,3502002,Analândia,4589
2024,SP,3502002,Analândia,4684
2025,SP,3502002,Analândia,4694
2022,SP,3502101,Andradina,59783
2023,SP,3502101,Andradina,59783
2024,SP,3502101,Andradina,61473
2025,SP,3502101,Andradina,61625
2022,SP,3502200,Angatuba,24022
2023,SP,3502200,Angatuba,24022
2024,SP,3502200,Angatuba,24512
2025,SP,3502200,Angatuba,24573
2022,SP,3502309,Anhembi,5674
2023,SP,3502309,Anhembi,5674
2024,SP,3502309,Anhembi,5766
2025,SP,3502309,Anhembi,5766
2022,SP,3502408,Anhumas,4023
2023,SP,3502408,Anhumas,4023
2024,SP,3502408,Anhumas,4108
2025,SP,3502408,Anhumas,4118
2022,SP,3502507,Aparecida,32569
2023,SP,3502507,Aparecida,32569
2024,SP,3502507,Aparecida,33223
2025,SP,3502507,Aparecida,33141
